h;f_backward;f_central;f_forward;d_backward;d_central;d_forward;f_s;d_s;
0.7882;0.077851808;0.009081191;0.059689456;0.077851852;0.009081203;0.059689446;0.082657288;0.082657199; 
0.788;0.077830231;0.009076572;0.059677029;0.077830282;0.009076631;0.059677021;0.082633878;0.082633767; 
0.7878;0.077808684;0.009072071;0.059664571;0.077808714;0.00907206;0.059664594;0.082610275;0.082610335; 
0.7876;0.077787137;0.009067512;0.059652144;0.077787146;0.00906749;0.059652166;0.082586843;0.082586905; 
0.7874;0.07776556;0.009062922;0.059639686;0.077765578;0.009062921;0.059639737;0.082563418;0.082563475; 
0.7872;0.077744013;0.009058303;0.059627378;0.077744012;0.009058353;0.059627306;0.082540157;0.082540046; 
0.787;0.077722406;0.009053773;0.059614921;0.077722446;0.009053787;0.059614873;0.082516703;0.082516618; 
0.7868;0.077700859;0.009049213;0.059602463;0.077700881;0.009049221;0.059602439;0.082493323;0.08249319; 
0.7866;0.077679283;0.009044653;0.059590006;0.077679317;0.009044657;0.059590004;0.082469839;0.082469763; 
0.7864;0.077657706;0.009040064;0.059577548;0.077657754;0.009040094;0.059577567;0.082446258;0.082446338; 
0.7862;0.077636188;0.009035534;0.059565091;0.077636192;0.009035532;0.059565129;0.082422833;0.082422913; 
0.786;0.077614611;0.009030974;0.059552634;0.07761463;0.009030971;0.059552689;0.082399416;0.082399488; 
0.7858;0.077593064;0.009026355;0.059540325;0.077593069;0.009026411;0.059540248;0.08237617;0.082376065; 
0.7856;0.077571517;0.009021854;0.059527838;0.077571509;0.009021852;0.059527805;0.082352731;0.082352642; 
0.7854;0.07754994;0.009017295;0.059515381;0.077549949;0.009017294;0.059515361;0.082329269;0.08232922; 
0.7852;0.077528393;0.009012735;0.059502923;0.077528391;0.009012738;0.059502915;0.082305911;0.082305799; 
0.785;0.077506816;0.009008175;0.059490466;0.077506833;0.009008183;0.059490468;0.082282345;0.082282379; 
0.7848;0.077485299;0.009003675;0.059477979;0.077485276;0.009003628;0.059478019;0.082258838;0.08225896; 
0.7846;0.077463722;0.008999115;0.059465492;0.07746372;0.008999075;0.059465569;0.082235436;0.082235541; 
0.7844;0.077442175;0.008994466;0.059453183;0.077442164;0.008994523;0.059453118;0.082212205;0.082212123; 
0.7842;0.077420628;0.008989996;0.059440696;0.07742061;0.008989972;0.059440665;0.082188788;0.082188706; 
0.784;0.077399051;0.008985406;0.059428269;0.077399056;0.008985423;0.05942821;0.082165438;0.08216529; 
0.7838;0.077377504;0.008980876;0.059415781;0.077377503;0.008980874;0.059415754;0.082141991;0.082141874; 
0.7836;0.077355898;0.008976317;0.059403294;0.07735595;0.008976327;0.059403297;0.082118522;0.08211846; 
0.7834;0.07733441;0.008971816;0.059390807;0.077334399;0.00897178;0.059390838;0.082094948;0.082095046; 
0.7832;0.077312803;0.008967257;0.05937832;0.077312848;0.008967235;0.059378378;0.082071576;0.082071633; 
0.783;0.077291256;0.008962637;0.059366012;0.077291298;0.008962691;0.059365916;0.082048352;0.082048221; 
0.7828;0.077269739;0.008958107;0.059353524;0.077269749;0.008958148;0.059353453;0.082024942;0.082024809; 
0.7826;0.077248162;0.008953548;0.059341037;0.0772482;0.008953606;0.059340988;0.08200151;0.082001399; 
0.7824;0.077226675;0.008949077;0.05932852;0.077226653;0.008949065;0.059328522;0.081978078;0.081977989; 
0.7822;0.077205068;0.008944488;0.059316063;0.077205106;0.008944526;0.059316054;0.081954721;0.08195458; 
0.782;0.07718358;0.008939988;0.059303546;0.07718356;0.008939987;0.059303585;0.081931065;0.081931172; 
0.7818;0.077162033;0.008935458;0.059291088;0.077162015;0.00893545;0.059291115;0.081907685;0.081907764; 
0.7816;0.077140427;0.008930868;0.059278691;0.07714047;0.008930914;0.059278643;0.081884402;0.081884358; 
0.7814;0.077118909;0.008926338;0.059266204;0.077118926;0.008926379;0.059266169;0.081861007;0.081860952; 
0.7812;0.077097392;0.008921808;0.059253746;0.077097383;0.008921845;0.059253694;0.081837694;0.081837547; 
0.781;0.077075845;0.008917278;0.059241229;0.077075841;0.008917312;0.059241218;0.081814277;0.081814143; 
0.7808;0.077054328;0.008912808;0.059228742;0.0770543;0.00891278;0.05922874;0.081790838;0.081790739; 
0.7806;0.077032751;0.008908248;0.059216255;0.077032759;0.008908249;0.059216261;0.081767294;0.081767337; 
