1;0.252443;0.339005;0.425567;0.0689307
0.9998;0.252465;0.339011;0.425556;0.0689548
0.9996;0.252488;0.339017;0.425546;0.0689788
0.9994;0.25251;0.339022;0.425535;0.0690029
0.9992;0.252532;0.339028;0.425524;0.069027
0.999;0.252555;0.339034;0.425513;0.069051
0.9988;0.252577;0.33904;0.425502;0.0690751
0.9986;0.252599;0.339045;0.425491;0.0690992
0.9984;0.252622;0.339051;0.42548;0.0691232
0.9982;0.252644;0.339057;0.42547;0.0691473
0.998;0.252666;0.339062;0.425459;0.0691714
0.9978;0.252688;0.339068;0.425448;0.0691954
0.9976;0.252711;0.339074;0.425437;0.0692195
0.9974;0.252733;0.33908;0.425426;0.0692436
0.9972;0.252755;0.339085;0.425415;0.0692676
0.997;0.252778;0.339091;0.425404;0.0692917
0.9968;0.2528;0.339097;0.425394;0.0693158
0.9966;0.252822;0.339103;0.425383;0.0693398
0.9964;0.252845;0.339108;0.425372;0.0693639
0.9962;0.252867;0.339114;0.425361;0.069388
0.996;0.252889;0.33912;0.42535;0.069412
0.9958;0.252912;0.339126;0.425339;0.0694361
0.9956;0.252934;0.339131;0.425328;0.0694601
0.9954;0.252956;0.339137;0.425318;0.0694842
0.9952;0.252979;0.339143;0.425307;0.0695083
0.995;0.253001;0.339148;0.425296;0.0695323
0.9948;0.253023;0.339154;0.425285;0.0695564
0.9946;0.253046;0.33916;0.425274;0.0695804
0.9944;0.253068;0.339166;0.425263;0.0696045
0.9942;0.25309;0.339171;0.425252;0.0696286
0.994;0.253113;0.339177;0.425241;0.0696526
0.9938;0.253135;0.339183;0.42523;0.0696767
0.9936;0.253157;0.339188;0.42522;0.0697007
0.9934;0.25318;0.339194;0.425209;0.0697248
0.9932;0.253202;0.3392;0.425198;0.0697488
0.993;0.253224;0.339206;0.425187;0.0697729
0.9928;0.253246;0.339211;0.425176;0.0697969
0.9926;0.253269;0.339217;0.425165;0.069821
0.9924;0.253291;0.339223;0.425154;0.0698451
0.9922;0.253313;0.339228;0.425143;0.0698691
0.992;0.253336;0.339234;0.425132;0.0698932
0.9918;0.253358;0.33924;0.425121;0.0699172
0.9916;0.25338;0.339245;0.425111;0.0699413
0.9914;0.253403;0.339251;0.4251;0.0699653
0.9912;0.253425;0.339257;0.425089;0.0699894
0.991;0.253447;0.339263;0.425078;0.0700134
0.9908;0.25347;0.339268;0.425067;0.0700375
0.9906;0.253492;0.339274;0.425056;0.0700615
0.9904;0.253514;0.33928;0.425045;0.0700856
0.9902;0.253536;0.339285;0.425034;0.0701096
0.99;0.253559;0.339291;0.425023;0.0701337
0.9898;0.253581;0.339297;0.425012;0.0701577
0.9896;0.253603;0.339302;0.425001;0.0701818
0.9894;0.253626;0.339308;0.424991;0.0702058
0.9892;0.253648;0.339314;0.42498;0.0702299
0.989;0.25367;0.339319;0.424969;0.0702539
0.9888;0.253693;0.339325;0.424958;0.070278
0.9886;0.253715;0.339331;0.424947;0.070302
0.9884;0.253737;0.339337;0.424936;0.0703261
0.9882;0.253759;0.339342;0.424925;0.0703501
0.988;0.253782;0.339348;0.424914;0.0703741
0.9878;0.253804;0.339354;0.424903;0.0703982
0.9876;0.253826;0.339359;0.424892;0.0704222
0.9874;0.253849;0.339365;0.424881;0.0704463
0.9872;0.253871;0.339371;0.42487;0.0704703
0.987;0.253893;0.339376;0.424859;0.0704944
0.9868;0.253915;0.339382;0.424848;0.0705184
0.9866;0.253938;0.339388;0.424837;0.0705424
0.9864;0.25396;0.339393;0.424827;0.0705665
0.9862;0.253982;0.339399;0.424816;0.0705905
0.986;0.254005;0.339405;0.424805;0.0706146
0.9858;0.254027;0.33941;0.424794;0.0706386
0.9856;0.254049;0.339416;0.424783;0.0706627
0.9854;0.254072;0.339422;0.424772;0.0706867
0.9852;0.254094;0.339427;0.424761;0.0707107
0.985;0.254116;0.339433;0.42475;0.0707348
0.9848;0.254138;0.339439;0.424739;0.0707588
0.9846;0.254161;0.339444;0.424728;0.0707828
0.9844;0.254183;0.33945;0.424717;0.0708069
0.9842;0.254205;0.339456;0.424706;0.0708309
0.984;0.254227;0.339461;0.424695;0.070855
0.9838;0.25425;0.339467;0.424684;0.070879
0.9836;0.254272;0.339473;0.424673;0.070903
0.9834;0.254294;0.339478;0.424662;0.0709271
0.9832;0.254317;0.339484;0.424651;0.0709511
0.983;0.254339;0.33949;0.42464;0.0709751
0.9828;0.254361;0.339495;0.424629;0.0709992
0.9826;0.254383;0.339501;0.424618;0.0710232
0.9824;0.254406;0.339507;0.424607;0.0710472
0.9822;0.254428;0.339512;0.424596;0.0710713
0.982;0.25445;0.339518;0.424585;0.0710953
0.9818;0.254473;0.339523;0.424574;0.0711193
0.9816;0.254495;0.339529;0.424563;0.0711434
0.9814;0.254517;0.339535;0.424552;0.0711674
