h;f_backward;f_central;f_forward;d_backward;d_central;d_forward;f_s;d_s
0.00000 ;0.353553390593274; 0.353553390593274; 0.353553390593274; 0.000000647955343; 0.000000092843831; 0.000000462267681; 0.176776695296637; 11102.053469556267373; 
0.00020 ;0.000098025889142; 0.000050985722797; 0.000199997334735; 0.000017678267871; 0.000000000589340; 0.000017677089191; 1.313337993576654; 0.000017678662481; 
0.00040 ;0.000097936482175; 0.000023430676205; 0.000051075129764; 0.000035357704789; 0.000000002356930; 0.000035352990929; 0.176776695296637; 0.000035360087497; 
0.00060 ;0.000097906679852; 0.000048226208432; 0.000001454262988; 0.000053038320503; 0.000000005303408; 0.000053027713687; 0.154360127403864; 0.000053042305595; 
0.00080 ;0.000097876877530; 0.000023371071561; 0.000051134734409; 0.000070720114236; 0.000000009428137; 0.000070701257963; 0.102620017483362; 0.000070727324046; 
0.00100 ;0.000097876877530; 0.000008469910367; 0.000080937056796; 0.000088403086056; 0.000000014731378; 0.000088373623300; 0.061641854002603; 0.000088414323060; 
0.00120 ;0.000097876877530; 0.000001484065311; 0.000100815205829; 0.000106087235986; 0.000000021213173; 0.000106044809640; 0.011208254144064; 0.000106103091053; 
0.00140 ;0.000140434593899; 0.000012701840146; 0.000115001111286; 0.000123772564035; 0.000000028873499; 0.000123714817037; 0.005686488702425; 0.000123794288825; 
0.00160 ;0.000135129780514; 0.000013881831424; 0.000162893443363; 0.000141459069929; 0.000000037712380; 0.000141383645170; 0.013795259640089; 0.000141487322415; 
0.00180 ;0.000164097637875; 0.000015086025937; 0.000133925586002; 0.000159146753580; 0.000000047729705; 0.000159051294170; 0.007188242628702; 0.000159182524651; 
0.00200 ;0.000187283844693; 0.000008469910367; 0.000170344023959; 0.000176835614989; 0.000000058925576; 0.000176717763837; 0.002037224128374; 0.000176879782867; 
0.00220 ;0.000206208319409; 0.000003016085370; 0.000200176148670; 0.000194525654005; 0.000000071299929; 0.000194383054147; 0.004366549894682; 0.000194579099865; 
0.00240 ;0.000197208018048; 0.000013881831424; 0.000225001483219; 0.000212216870575; 0.000000084852816; 0.000212047164942; 0.000860217258803; 0.000212280478796; 
0.00260 ;0.000235384793027; 0.000006145329220; 0.000223094134586; 0.000229909264575; 0.000000099584208; 0.000229710096158; 0.000431585357062; 0.000229983889725; 
0.00280 ;0.000246888489468; 0.000002062411053; 0.000242733865039; 0.000247602835958; 0.000000115494125; 0.000247371847709; 0.005686488702425; 0.000247689362903; 
0.00300 ;0.000256782860501; 0.000001484065311; 0.000259780793445; 0.000265297584615; 0.000000132582542; 0.000265032419531; 0.002037239029535; 0.000265396915635; 
0.00320 ;0.000284141392453; 0.000004583506839; 0.000293278603809; 0.000282993510428; 0.000000150849426; 0.000282691811576; 0.002153727457396; 0.000283106546911; 
0.00340 ;0.000308221668942; 0.000001436562283; 0.000305348544376; 0.000300690613342; 0.000000170294865; 0.000300350023612; 0.006625029489867; 0.000300818189042; 
0.00360 ;0.000313109249814; 0.000001484065311; 0.000316047578113; 0.000318388893281; 0.000000190918803; 0.000318007055676; 0.002589118435510; 0.000318531915069; 
0.00380 ;0.000333136410458; 0.000004106669681; 0.000341349749820; 0.000336088350128; 0.000000212721255; 0.000335662907618; 0.003411385462157; 0.000336247693555; 
0.00400 ;0.000366097779019; 0.000008469910367; 0.000349157958286; 0.000353788983816; 0.000000235702219; 0.000353317579378; 0.001688066170088; 0.000353965533015; 
0.00420 ;0.000367528290494; 0.000001454262988; 0.000370436816470; 0.000371490794240; 0.000000259861695; 0.000370971070850; 0.001071426317564; 0.000371685420709; 
0.00440 ;0.000382310242398; 0.000003749041812; 0.000389838128345; 0.000389193781312; 0.000000285199680; 0.000388623381952; 0.001287806079260; 0.000389407366141; 
0.00460 ;0.000408834309323; 0.000000661701901; 0.000407481103198; 0.000406897944960; 0.000000311716174; 0.000406274512612; 0.000685137465128; 0.000407131371094; 
0.00480 ;0.000433153004391; 0.000004744620068; 0.000423663764255; 0.000424603285078; 0.000000339411176; 0.000423924462726; 0.000860217258803; 0.000424857432449; 
0.00500 ;0.000443554014905; 0.000002479643567; 0.000438594727771; 0.000442309801599; 0.000000368284685; 0.000441573232229; 0.000346946761481; 0.000442585557370; 
0.00520 ;0.000453180165036; 0.000005328564899; 0.000463807492511; 0.000460017494380; 0.000000398336689; 0.000459220821002; 0.000431585357062; 0.000460315730781; 
0.00540 ;0.000484174580319; 0.000004029364331; 0.000476115851657; 0.000477726363404; 0.000000429567221; 0.000476867228962; 0.000987964913718; 0.000478047957516; 
0.00560 ;0.000502324194653; 0.000002062411053; 0.000498169570224; 0.000495436408555; 0.000000461976257; 0.000494512456040; 0.001916143343321; 0.000495782248642; 
0.00580 ;0.000508910507901; 0.000000214667065; 0.000508481173770; 0.000513147629716; 0.000000495563798; 0.000512156502120; 0.000407141401895; 0.000513518586226; 
0.00600 ;0.000525003761990; 0.000001484065311; 0.000528001694934; 0.000530860026840; 0.000000530329862; 0.000529799367116; 0.000381541206964; 0.000531256975773; 
0.00620 ;0.000549709887250; 0.000001734585507; 0.000546270518558; 0.000548573599832; 0.000000566274428; 0.000547441050975; 0.001560124800078; 0.000548997427606; 
0.00640 ;0.000563538164838; 0.000000065655453; 0.000563377051608; 0.000566288348574; 0.000000603397497; 0.000565081553580; 0.000698539659849; 0.000566739930881; 
0.00660 ;0.000585532278760; 0.000001484065311; 0.000588500409381; 0.000584004272998; 0.000000641699077; 0.000582720874845; 0.001629892036787; 0.000584484487754; 
